,actor,actress,art_direction,cinematography,costume,director,editing,effects,music,other,picture,s_actor,s_actress,screenplay,song,sound,year
All the King's Men,W,O,O,O,O,N,N,O,O,O,W,N,W,N,O,O,1949
Battleground,O,O,O,W,O,N,N,O,O,W,N,N,O,O,O,O,1949
The Heiress,O,W,W,N,W,N,O,O,W,O,N,N,O,O,O,O,1949
A Letter to Three Wives,O,O,O,O,O,W,O,O,O,O,N,O,O,W,O,O,1949
Twelve O'Clock High,N,O,O,O,O,O,O,O,O,O,N,W,O,O,O,W,1949
The Fallen Idol,O,O,O,O,O,N,O,O,O,O,O,O,O,N,O,O,1949
Champion,N,O,O,N,O,O,W,O,N,O,O,N,O,N,O,O,1949
The Hasty Heart,N,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,1949
Sands of Iwo Jima,N,O,O,O,O,O,N,O,O,N,O,O,O,O,O,N,1949
Pinky,O,N,O,O,O,O,O,O,O,O,O,O,N,O,O,O,1949
My Foolish Heart,O,N,O,O,O,O,O,O,O,O,O,O,O,O,N,O,1949
"Edward, My Son",O,N,O,O,O,O,O,O,O,O,O,O,O,O,O,O,1949
Come to the Stable,O,N,N,N,O,O,O,O,O,N,O,O,N,O,N,O,1949
Bicycle Thieves,O,O,O,O,O,O,O,O,O,O,O,O,O,N,O,O,1949
Jolson Sings Again,O,O,O,N,O,O,O,O,N,N,O,O,O,O,O,O,1949
Paisan,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1949
Passport to Pimlico,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1949
The Quiet One,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1949
The Stratton Story,O,O,O,O,O,O,O,O,O,W,O,O,O,O,O,O,1949
It Happens Every Spring,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1949
White Heat,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1949
For Scent-imental Reasons,O,O,O,O,O,O,O,O,O,W,O,O,O,O,O,O,1949
Canary Row,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1949
Hatch Up Your Troubles,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1949
The Magic Fluke,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1949
Toy Tinkers,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1949
Daybreak in Udi,O,O,O,O,O,O,O,O,O,W,O,O,O,O,O,O,1949
Kenji Comes Home,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1949
A Chance to Live,O,O,O,O,O,O,O,O,O,W,O,O,O,O,O,O,1949
So Much for So Little,O,O,O,O,O,O,O,O,O,W,O,O,O,O,O,O,1949
1848,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1949
The Rising Tide,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1949
Aquatic House Party,O,O,O,O,O,O,O,O,O,W,O,O,O,O,O,O,1949
Roller Derby Girl,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1949
So You Think You're Not Guilty,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1949
Spills and Chills,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1949
Water Trix,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1949
Van Gogh,O,O,O,O,O,O,O,O,O,W,O,O,O,O,O,O,1949
The Boy and the Eagle,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1949
Chase of Death,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1949
The Grass Is Always Greener,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1949
