,imdbID,budget,cast_size,gross,imdb_rating,n_votes,runtime,title,year
0,tt0097626,20.0,7,7.237794,6.2,8362,96.0,Johnny Handsome,1989
1,tt0092997,22.0,3,1130784.490307,6.7,5709,104.0,Extreme Prejudice,1987
2,tt0076759,1308.0,4,9323.0,8.6,1149700,121.0,Star Wars: Episode IV - A New Hope,1977
3,tt0120903,1670.0,4,6020.0,7.4,546738,104.0,X-Men,2000
4,tt1661099,35.0,6,48.2,5.5,6612,202.0,X,2011
5,tt0077975,113.0,5,299.743059,7.5,106701,109.0,National Lampoon's Animal House,1978
6,tt0091757,1274.0,6,4560.0,6.1,7395,726.0,Pirates,1986
7,tt0117060,828.0,1,3570.0,7.1,366392,769.0,Mission: Impossible,1996
8,tt1649419,828.0,1,3570.0,7.6,183280,769.0,The Impossible,2012
9,tt4972582,445.0,24,3401.0,7.3,382095,117.0,Split(IX) ,2016
10,tt0119594,385.0,18,3346.0,6.2,9615,607.0,Twilight,1998
11,tt0077869,281.0,15,2919.0,6.2,28058,558.0,The Lord of the Rings,1978
12,tt0120338,200.0,10,2187.0,7.8,982514,195.0,Titanic,1997
13,tt2488496,306.0,13,2068.0,7.9,801733,135.0,Star Wars: Episode VII - The Force Awakens,2015
14,tt7768640,306.0,13,2068.0,6.0,8,135.0,star wars: the force awakens,2015
15,tt4154756,400.0,19,2048.0,8.5,728504,149.0,Avengers: Infinity War,2018
16,tt0119654,555.0,4,1909.0,7.3,488685,407.0,Men in Black,1997
17,tt0369610,150.0,8,1672.0,7.0,550978,124.0,Jurassic World,2015
18,tt0118661,60.0,4,48.6,3.8,39438,89.0,The Avengers,1998
19,tt0848228,220.0,11,1519.0,8.0,1208513,143.0,The Avengers,2012
20,tt2820852,190.0,10,1516.0,7.2,342210,137.0,Furious 7,2015
21,tt2395427,495.0,17,1403.0,7.3,690591,141.0,Avengers: Age of Ultron,2015
22,tt1825683,200.0,11,1347.0,7.3,553315,134.0,Black Panther,2018
23,tt2527336,317.0,15,1333.0,7.1,485466,152.0,Star Wars: Episode VIII - The Last Jedi,2017
24,tt3486354,317.0,15,1333.0,8.3,87,152.0,star wars: the last jedi,2008
25,tt4881806,187.0,7,1309.0,6.2,234117,128.0,Jurassic World: Fallen Kingdom,2018
26,tt1323045,150.0,5,1276.0,6.1,63624,102.0,Frozen(I) ,2010
27,tt2294629,150.0,5,1276.0,7.5,532649,102.0,Frozen(I) ,2013
28,tt2294629,150.0,5,1276.0,7.5,527763,102.0,frozen,2013
