,index,year,name,category,result,score
0,0,1940,David O. Selznick,picture,W,5.0
1,1,1940,David Lewis,picture,N,0.1
2,2,1940,Victor Saville,picture,N,0.1
3,3,1940,Leo McCarey,picture,N,0.1
4,4,1940,Frank Capra,picture,N,0.1
5,5,1940,Sidney Franklin,picture,N,0.1
6,6,1940,Lewis Milestone,picture,N,0.1
7,7,1940,Walter Wanger,picture,N,0.1
8,8,1940,Mervyn LeRoy,picture,N,0.1
9,9,1940,Samuel Goldwyn,picture,N,0.1
10,10,1940,Victor Fleming,director,W,5.0
11,11,1940,Sam Wood,director,N,0.2
12,12,1940,Frank Capra,director,N,0.2
13,13,1940,John Ford,director,N,0.2
14,14,1940,William Wyler,director,N,0.2
25,25,1940,Thomas Mitchell,s_actor,W,5.0
26,26,1940,Brian Aherne,s_actor,N,0.2
27,27,1940,Harry Carey,s_actor,N,0.2
28,28,1940,Brian Donlevy,s_actor,N,0.2
29,29,1940,Claude Rains,s_actor,N,0.2
30,30,1940,Hattie McDaniel,s_actress,W,5.0
31,31,1940,Olivia de Havilland,s_actress,N,0.2
32,32,1940,Geraldine Fitzgerald,s_actress,N,0.2
33,33,1940,Edna May Oliver,s_actress,N,0.2
34,34,1940,Maria Ouspenskaya,s_actress,N,0.2
15,15,1940,Robert Donat,actor,W,5.0
16,16,1940,Clark Gable,actor,N,0.2
17,17,1940,Laurence Olivier,actor,N,0.2
18,18,1940,Mickey Rooney,actor,N,0.2
19,19,1940,James Stewart,actor,N,0.2
20,20,1940,Vivien Leigh,actress,W,5.0
21,21,1940,Bette Davis,actress,N,0.2
22,22,1940,Irene Dunne,actress,N,0.2
23,23,1940,Greta Garbo,actress,N,0.2
24,24,1940,Greer Garson,actress,N,0.2
35,35,1940,Sidney Howard,screenplay,W,5.0
36,36,1940,Eric Maschwitz,screenplay,N,0.2
37,37,1940,Sidney Buchman,screenplay,N,0.2
38,38,1940,Charles Brackett,screenplay,N,0.2
39,39,1940,Ben Hecht,screenplay,N,0.2
121,0,1941,David O. Selznick,picture,W,5.0
122,1,1941,Jack L. Warner,picture,N,0.1
123,2,1941,Walter Wanger,picture,N,0.1
124,3,1941,Darryl F. Zanuck,picture,N,0.1
125,4,1941,Charlie Chaplin,picture,N,0.1
126,5,1941,RKO Radio,picture,N,0.1
127,6,1941,Hal B. Wallis for Warner Bros.,picture,N,0.1
128,7,1941,John Ford,picture,N,0.1
129,8,1941,Sol Lesser,picture,N,0.1
130,9,1941,Joseph L. Mankiewicz,picture,N,0.1
131,10,1941,John Ford,director,W,5.0
132,11,1941,Sam Wood,director,N,0.2
133,12,1941,William Wyler,director,N,0.2
134,13,1941,George Cukor,director,N,0.2
135,14,1941,Alfred Hitchcock,director,N,0.2
146,25,1941,Walter Brennan,s_actor,W,5.0
147,26,1941,Albert Bassermann,s_actor,N,0.2
148,27,1941,William Gargan,s_actor,N,0.2
149,28,1941,Jack Oakie,s_actor,N,0.2
150,29,1941,James Stephenson,s_actor,N,0.2
151,30,1941,Jane Darwell,s_actress,W,5.0
