,imdbID,title,year,n_votes,imdb_rating,budget,box_office,cast,genre,running_time,inflation_factor,budget_adjusted
0,tt4154796,avengers: endgame,2019,613329,8.5,356.0,2798.0,16,4,181,0.3921568627450981,139.60784313725492
1,tt1979376,toy story 4,2019,135006,7.9,200.0,1073.0,13,3,100,0.3921568627450981,78.43137254901961
2,tt4154664,captain marvel,2019,380206,6.9,175.0,1128.0,10,4,124,0.3921568627450981,68.62745098039217
3,tt6320628,spider-man: far from home,2019,238917,7.6,160.0,1132.0,10,4,129,0.3921568627450981,62.74509803921569
4,tt4520988,frozen ii,2019,12874,7.3,150.0,1041.0,4,5,103,0.3921568627450981,58.82352941176471
5,tt0103639,aladdin,2019,339486,8.0,183.0,1051.0,7,4,128,0.3921568627450981,71.76470588235296
6,tt7349950,it chapter two,2019,127076,6.7,79.0,472.1,8,3,169,0.3921568627450981,30.98039215686275
7,tt6857112,us,2019,164411,6.9,20.0,255.1,4,3,116,0.3921568627450981,7.843137254901961
8,tt5886046,escape room,2019,61485,6.3,9.0,155.7,7,4,100,0.3921568627450981,3.5294117647058827
9,tt6610158,rust creek,2019,3897,5.8,,,5,3,,0.3921568627450981,
10,tt7616798,a dog's way home,2019,10770,6.7,18.0,76.1,6,2,96,0.3921568627450981,7.058823529411765
11,tt2728784,after darkness,2019,408,3.3,,,3,2,98,0.3921568627450981,
12,tt6823368,glass,2019,171937,6.7,20.0,247.0,5,5,129,0.3921568627450981,7.843137254901961
13,tt5316540,close,2019,17089,5.6,,,4,3,94,0.3921568627450981,
14,tt6811018,the kid who would be king,2019,11417,6.0,59.0,32.1,4,3,120,0.3921568627450981,23.137254901960787
15,tt0379786,serenity,2019,273879,7.8,25.0,14.4,5,6,106,0.3921568627450981,9.803921568627452
16,tt1911600,miss bala,2019,8286,6.5,15.0,15.4,3,4,104,0.3921568627450981,5.882352941176471
17,tt7043012,velvet buzzsaw,2019,45626,5.7,21.2,,9,3,113,0.3921568627450981,8.313725490196079
18,tt3513498,the lego movie 2: the second part,2019,41571,6.7,99.0,191.3,9,5,107,0.3921568627450981,38.82352941176471
19,tt7634968,what men want,2019,14832,5.1,20.0,72.2,5,3,117,0.3921568627450981,7.843137254901961
20,tt5719748,cold pursuit,2019,43117,6.2,60.0,76.3,8,4,118,0.3921568627450981,23.529411764705884
21,tt8128188,high flying bird,2019,5786,6.2,2.0,,7,1,91,0.3921568627450981,0.7843137254901962
22,tt4504044,the prodigy,2019,16975,5.9,6.0,21.2,3,2,92,0.3921568627450981,2.3529411764705888
23,tt2452244,isn't it romantic,2019,51478,5.9,31.0,48.8,4,3,89,0.3921568627450981,12.15686274509804
24,tt8155288,happy death day 2u,2019,41804,6.2,9.0,64.5,5,4,100,0.3921568627450981,3.5294117647058827
25,tt2386490,how to train your dragon: the hidden world,2019,80386,7.5,129.0,520.0,7,4,104,0.3921568627450981,50.58823529411765
26,tt6513120,fighting with my family,2019,43257,7.1,11.0,39.1,6,3,108,0.3921568627450981,4.313725490196079
27,tt1488606,triple frontier,2019,86081,6.5,115.0,,5,3,125,0.3921568627450981,45.09803921568628
28,tt0012349,the kid,2019,102162,8.3,7.0,1.6,5,4,100,0.3921568627450981,2.7450980392156867
29,tt6428676,wonder park,2019,6729,5.8,100.0,119.6,8,3,85,0.3921568627450981,39.21568627450981
