,index,imdbID,title,year,n_votes,imdb_rating,budget,box_office,cast,running_time
0,0,tt4154796,avengers: endgame,2019,613329,8.5,356.0,2798.0,16,181
1,2,tt1979376,toy story 4,2019,135006,7.9,200.0,1073.0,13,100
2,3,tt4154664,captain marvel,2019,380206,6.9,175.0,1128.0,10,124
3,4,tt6320628,spider-man: far from home,2019,238917,7.6,160.0,1132.0,10,129
4,5,tt4520988,frozen ii,2019,12874,7.3,150.0,1041.0,4,103
5,6,tt0103639,aladdin,2019,339486,8.0,183.0,1051.0,7,128
6,7,tt7349950,it chapter two,2019,127076,6.7,79.0,472.1,8,169
7,8,tt6857112,us,2019,164411,6.9,20.0,255.1,4,116
8,9,tt5886046,escape room,2019,61485,6.3,9.0,155.7,7,100
9,10,tt6610158,rust creek,2019,3897,5.8,,,5,
10,11,tt7616798,a dog's way home,2019,10770,6.7,18.0,76.1,6,96
11,14,tt2728784,after darkness,2019,408,3.3,,,3,98
12,15,tt6823368,glass,2019,171937,6.7,20.0,247.0,5,129
13,16,tt5316540,close,2019,17089,5.6,,,4,94
14,18,tt6811018,the kid who would be king,2019,11417,6.0,59.0,32.1,4,120
15,19,tt0379786,serenity,2019,273879,7.8,25.0,14.4,5,106
16,20,tt1911600,miss bala,2019,8286,6.5,15.0,15.4,3,104
17,21,tt7043012,velvet buzzsaw,2019,45626,5.7,21.2,,9,113
18,23,tt3513498,the lego movie 2: the second part,2019,41571,6.7,99.0,191.3,9,107
19,24,tt7634968,what men want,2019,14832,5.1,20.0,72.2,5,117
20,25,tt5719748,cold pursuit,2019,43117,6.2,60.0,76.3,8,118
21,26,tt8128188,high flying bird,2019,5786,6.2,2.0,,7,91
22,27,tt4504044,the prodigy,2019,16975,5.9,6.0,21.2,3,92
23,28,tt2452244,isn't it romantic,2019,51478,5.9,31.0,48.8,4,89
24,29,tt8155288,happy death day 2u,2019,41804,6.2,9.0,64.5,5,100
25,31,tt2386490,how to train your dragon: the hidden world,2019,80386,7.5,129.0,520.0,7,104
26,32,tt6513120,fighting with my family,2019,43257,7.1,11.0,39.1,6,108
27,35,tt1488606,triple frontier,2019,86081,6.5,115.0,,5,125
28,36,tt0012349,the kid,2019,102162,8.3,7.0,1.6,5,100
29,37,tt6428676,wonder park,2019,6729,5.8,100.0,119.6,8,85
30,38,tt5968394,captive state,2019,40817,6.0,25.0,8.8,5,109
31,39,tt8323104,nancy drew and the hidden staircase,2019,2237,5.7,,,3,89
32,40,tt5977276,the aftermath,2019,10804,6.3,,9.2,3,108
33,41,tt6472976,five feet apart,2019,25815,7.2,7.0,91.5,3,116
34,42,tt1860242,the highwaymen,2019,56731,6.9,49.0,,7,132
35,43,tt1158939,never grow old,2019,1965,5.8,,,6,
36,44,tt6643972,triple threat,2019,7270,5.5,,,8,96
37,46,tt0800325,the dirt,2019,32198,7.0,,,5,108
38,47,tt0033563,dumbo,2019,111700,7.2,170.0,353.3,5,112
39,48,tt6511932,the beach bum,2019,12210,5.5,5.0,4.6,7,95
40,49,tt9024106,unplanned,2019,10393,5.8,6.0,21.0,3,106
41,50,tt0448115,shazam!,2019,191410,7.1,100.0,364.6,6,132
42,51,tt0098084,pet sematary,2019,88234,6.6,21.0,112.4,3,101
43,52,tt4807408,the best of enemies,2019,4956,7.0,10.0,10.2,2,133
44,54,tt7976208,the haunting of sharon tate,2019,2349,2.9,,,5,94
45,55,tt0019585,the wind,2019,5573,8.3,,,1,113
46,56,tt7315484,the silence,2019,28594,5.2,,2.3,4,90
47,57,tt0167190,hellboy,2019,295290,6.8,50.0,44.6,6,121
48,58,tt0449059,little,2019,417807,7.8,40.0,,12,135
49,59,tt6348138,missing link,2019,9967,6.7,100.0,26.2,3,94
50,60,tt4126476,after,2019,21681,5.4,14.0,69.5,2,106
51,62,tt7083526,breakthrough,2019,5035,6.2,14.0,50.4,7,116
52,63,tt8080302,penguins,2019,758,6.8,,7.7,,76
53,64,tt4913966,the curse of la llorona,2019,26787,5.4,9.0,122.1,3,93
54,66,tt1442437,family,2019,319640,8.4,24.0,190.4,8,87
55,68,tt4058836,i spit on your grave: deja vu,2019,1335,2.4,,,3,148
56,69,tt8708304,i trapped the devil,2019,1217,4.8,,,5,82
57,70,tt7942746,body at brighton rock,2019,864,4.6,,,8,87
58,72,tt2139881,long shot,2019,56821,6.9,40.0,53.4,7,125
59,73,tt6722030,the intruder,2019,8093,5.5,8.0,36.6,4,102
60,74,tt1946502,uglydolls,2019,3774,4.8,53.0,32.5,12,87
61,75,tt2481498,"extremely wicked, shockingly evil and vile",2019,59293,6.6,,9.88,6,108
62,76,tt5884052,pokémon detective pikachu,2019,105639,6.7,150.0,431.7,8,104
63,77,tt1298644,the hustle,2019,28169,5.4,21.0,95.0,4,94
64,78,tt3361792,tolkien,2019,18922,6.8,20.0,9.0,4,112
65,79,tt5125894,poms,2019,2256,5.7,10.0,16.5,9,90
66,80,tt5932728,the professor and the madman,2019,19825,7.3,25.0,5.4,10,124
67,81,tt6146586,john wick: chapter 3 – parabellum,2019,197479,7.6,75.0,326.7,8,131
68,82,tt8385474,a dog's journey,2019,10855,7.4,,71.7,6,109
69,83,tt6423362,the sun is also a star,2019,3081,5.7,9.0,6.7,2,100
70,84,tt6865690,the professor,2019,14243,6.7,25.0,5.4,10,124
71,85,tt6920356,the souvenir,2019,4322,6.5,,1.7,3,119
72,86,tt8769848,the tomorrow man,2019,812,5.5,,0.35,6,94
73,87,tt7752126,brightburn,2019,54456,6.2,12.0,32.9,5,90
74,88,tt1489887,booksmart,2019,49043,7.2,6.0,24.8,6,105
75,90,tt7374948,always be my maybe,2019,36057,6.8,,,2,102
76,91,tt3741700,godzilla: king of the monsters,2019,100328,6.1,200.0,385.0,12,132
77,92,tt2066051,rocketman,2019,80854,7.4,40.0,195.2,5,121
78,93,tt7958736,ma,2019,23727,5.6,5.0,60.6,6,99
79,94,tt6565702,dark phoenix,2019,113234,5.8,200.0,252.4,8,114
80,95,tt5113040,the secret life of pets 2,2019,31612,6.5,80.0,433.0,13,86
81,96,tt6107548,late night,2019,14492,6.5,4.0,22.2,8,102
82,97,tt4353250,the last black man in san francisco,2019,5632,7.4,,4.5,7,120
83,98,tt6612946,changeland,2019,833,5.5,,,8,
84,99,tt2283336,men in black: international,2019,77164,5.6,110.0,253.9,9,115
85,100,tt0162650,shaft,2019,70506,5.9,35.0,21.4,5,112
86,101,tt8695030,the dead don't die,2019,31412,5.5,,14.4,14,103
87,102,tt1618434,murder mystery,2019,74879,6.0,,,6,97
88,103,tt7645122,plus one,2019,4083,6.6,,0.02,6,98
89,105,tt0094862,child's play,2019,81608,6.6,10.0,44.9,4,90
90,106,tt8350360,annabelle comes home,2019,41122,5.9,32.0,228.6,5,106
91,107,tt8079248,yesterday,2019,66491,6.9,26.0,151.3,4,116
92,109,tt8400758,killers anonymous,2019,7439,6.0,15.0,,8,
93,110,tt6772804,escape plan: the extractors,2019,7317,4.4,3.6,1.8,10,88
94,111,tt8772262,midsommar,2019,86252,7.2,10.0,41.1,5,147
95,112,tt7734218,stuber,2019,23754,6.2,16.0,32.4,8,93
96,113,tt8364368,crawl,2019,39093,6.2,13.5,91.5,2,87
97,115,tt8637428,the farewell,2019,15760,7.8,3.0,19.6,6,98
98,119,tt4995776,the red sea diving resort,2019,16522,6.5,,,7,130
99,120,tt1905041,fast & furious presents: hobbs & shaw,2019,353504,7.1,200.0,758.9,7,136
100,121,tt3758162,a score to settle,2019,2069,4.5,,,2,103
101,122,tt8000718,the operative,2019,1888,5.6,,,3,120
102,123,tt7547410,dora and the lost city of gold,2019,12689,6.0,49.0,119.7,5,102
103,124,tt5822564,the kitchen,2019,6698,5.2,38.0,15.9,9,103
104,125,tt1478839,the art of racing in the rain,2019,10024,7.5,50.0,33.8,6,109
105,126,tt3387520,scary stories to tell in the dark,2019,35707,6.2,28.0,104.5,9,108
106,127,tt4364194,the peanut butter falcon,2019,21983,7.7,6.2,20.8,7,98
107,128,tt0457655,after the wedding,2019,29888,7.7,,2.7,4,110
108,129,tt6063090,light of my life,2019,4688,6.6,,0.21,4,119
109,130,tt6095472,the angry birds movie 2,2019,10015,6.4,65.0,150.0,10,97
110,131,tt8266310,blinded by the light,2019,9241,6.9,15.0,17.6,6,117
111,132,tt7343762,good boys,2019,30532,6.7,20.0,110.9,6,89
112,133,tt2365580,"where'd you go, bernadette",2019,3778,6.5,18.0,10.1,5,109
113,134,tt7329656,47 meters down: uncaged,2019,9384,5.0,12.0,40.0,8,89
114,136,tt7798634,ready or not,2019,43120,6.9,6.0,57.4,5,95
115,137,tt6189022,angel has fallen,2019,39238,6.4,40.0,141.3,8,121
116,138,tt7671064,brittany runs a marathon,2019,6390,6.8,,7.4,5,103
117,139,tt8186318,overcomer,2019,1873,6.4,5.0,37.9,6,115
118,141,tt8009314,burn,2019,1450,5.6,,0.02,5,
119,142,tt5431890,official secrets,2019,7989,7.3,,5.5,6,112
120,143,tt6803212,don't let go,2019,1199,5.9,5.0,5.3,4,107
121,144,tt6895284,itsy bitsy,2019,3413,5.7,,,4,94
122,145,tt7869070,the fanatic,2019,3981,4.6,,0.0,4,88
123,146,tt8510350,satanic panic,2019,1863,5.5,,,13,80
124,147,tt8815382,the obituary of tunde johnson,2019,19,8.0,,,3,104
125,148,tt3864056,the goldfinch,2019,6376,6.3,49.0,9.7,8,149
126,149,tt5503686,hustlers,2019,28038,6.5,20.7,156.0,7,110
127,150,tt9352926,the sound of silence,2019,405,5.3,0.02,,4,85
128,152,tt9252508,tall girl,2019,11764,5.3,,,10,102
129,153,tt2935510,ad astra,2019,86453,6.8,100.0,130.0,5,124
130,154,tt1606375,downton abbey,2019,149308,8.7,20.0,191.8,7,122
131,155,tt1206885,rambo: last blood,2019,32541,6.4,50.0,91.0,8,89
132,157,tt5792656,running with the devil,2019,2188,5.4,,,2,
133,158,tt4332232,fractured,2019,32687,6.3,,,6,100
134,159,tt6324278,abominable,2019,9291,7.0,75.0,177.7,7,97
135,160,tt5865326,the laundromat,2019,25398,6.3,,,8,95
136,161,tt7549996,judy,2019,7741,7.1,,37.8,5,118
137,163,tt7286456,joker,2019,513667,8.7,70.0,1061.0,1,122
138,164,tt4682804,lucy in the sky,2019,755,4.5,27.0,0.32,6,124
139,165,tt8526872,dolemite is my name,2019,22038,7.4,,,7,118
140,166,tt4687108,in the tall grass,2019,30374,5.5,,,6,90
141,167,tt7434324,low tide,2019,765,6.1,,,6,90
142,168,tt9097270,wrinkles the clown,2019,272,4.7,,0.01,1,75
143,169,tt0097758,little monsters,2019,10507,6.1,,,5,94
144,170,tt1025100,gemini man,2019,31943,5.7,138.0,173.2,4,117
145,171,tt0101272,the addams family,2019,121787,6.9,24.0,190.4,8,87
146,172,tt7984766,the king,2019,48115,7.3,,0.01,6,140
147,173,tt9354944,jexi,2019,3892,6.5,5.0,7.5,4,84
148,174,tt9243946,el camino: a breaking bad movie,2019,128381,7.5,6.0,0.04,1,122
149,175,tt4777008,maleficent: mistress of evil,2019,27992,7.0,185.0,487.9,9,118
150,176,tt1560220,zombieland: double tap,2019,33435,7.2,48.0,120.6,9,99
151,177,tt2584384,jojo rabbit,2019,16181,8.1,14.0,25.3,8,108
152,178,tt7984734,the lighthouse,2019,13804,8.3,4.0,11.6,2,110
153,179,tt5913798,wounds,2019,8316,4.1,,,3,94
154,180,tt7390646,black and blue,2019,1943,5.7,12.0,22.7,6,108
155,182,tt10039344,countdown,2019,3613,5.4,6.5,39.1,8,90
156,183,tt6196936,the kill team,2019,1095,5.9,,0.37,8,87
157,184,tt7473716,the gallows act ii,2019,602,4.4,,,3,
158,185,tt6450804,terminator: dark fate,2019,50506,6.5,196.0,260.6,6,128
159,186,tt0385887,motherless brooklyn,2019,7112,7.1,26.0,15.3,7,144
160,187,tt1302006,the irishman,2019,9801,8.7,159.0,7.8,3,209
161,188,tt4648786,harriet,2019,3815,6.5,17.0,42.3,4,125
162,189,tt4426464,arctic dogs,2019,414,3.9,50.0,8.4,9,93
163,190,tt7653254,marriage story,2019,15163,8.5,18.0,2.2,7,136
164,191,tt5606664,doctor sleep,2019,36389,7.6,55.0,71.2,4,152
165,192,tt8623904,last christmas,2019,14450,6.6,25.0,101.6,4,103
166,193,tt9134216,playing with fire,2019,1978,4.6,29.9,53.2,6,96
167,194,tt0074899,midway,2019,16446,6.8,100.0,122.1,14,138
168,195,tt4729430,klaus,2019,11671,8.4,40.0,,8,97
169,196,tt8151874,honey boy,2019,1382,7.0,3.5,2.9,4,93
170,197,tt1950186,ford v ferrari,2019,19585,8.3,97.6,187.0,2,152
171,198,tt0160127,charlie's angels,2019,167745,5.5,55.0,57.2,8,119
172,199,tt5563334,the good liar,2019,4267,6.5,10.0,28.0,4,109
173,200,tt8236336,the report,2019,5077,7.2,8.0,0.28,8,119
174,201,tt8652728,waves,2019,1107,7.7,,1.5,6,135
175,202,tt3224458,a beautiful day in the neighborhood,2019,7422,7.9,25.0,51.2,4,109
176,203,tt8688634,21 bridges,2019,5153,6.6,33.0,38.4,6,99
177,204,tt0109550,dark waters,2019,1599,6.2,,10.3,7,126
178,205,tt8946378,knives out,2019,1671,6.8,40.0,167.5,11,130
179,206,tt3322420,queen & slim,2019,56587,8.2,20.0,34.7,7,132
180,207,tt8404614,the two popes,2019,751,7.7,,0.36,2,125
181,208,tt4199898,playmobil: the movie,2019,827,4.6,40.0,13.7,6,99
182,209,tt6141246,the aeronauts,2019,2050,6.6,40.0,3.2,4,100
183,211,tt8745960,daniel isn't real,2019,877,6.0,,,7,100
184,212,tt7975244,jumanji: the next level,2019,18512,7.0,132.0,232.4,12,123
185,213,tt3513548,richard jewell,2019,2526,7.7,45.0,7.0,5,129
186,214,tt0071222,black christmas,2019,29449,7.2,5.0,8.5,6,92
187,215,tt8106534,6 underground,2019,34632,6.2,150.0,,8,128
188,216,tt0023825,bombshell,2019,2020,7.3,32.0,0.41,8,108
189,217,tt5727208,uncut gems,2019,1126,8.1,,0.78,6,134
190,218,tt1780967,seberg,2019,799,4.7,8.0,,6,102
191,219,tt5827916,a hidden life,2019,1509,7.6,9.0,0.47,3,174
192,221,tt0173714,cats,2019,3645,7.7,95.0,,9,110
193,222,tt5814534,spies in disguise,2019,165,6.5,,,2,102
194,223,tt0110367,little women,2019,45297,7.3,40.0,,12,135
195,224,tt8579674,1917,2019,401,8.6,100.0,,8,119
196,225,tt4916630,just mercy,2019,574,5.7,,,6,136
197,226,tt5577494,clemency,2019,286,5.9,,,7,113
198,227,tt7334342,dirty god,2019,601,6.5,,,1,90
199,228,tt8530978,beats,2019,3194,6.4,,,11,110
200,229,tt7802246,the last tree,2019,210,6.9,,,1,100
201,230,tt7533152,the boy who harnessed the wind,2019,15111,7.6,,,1,113
202,231,tt6198946,the hole in the ground,2019,9938,5.7,,,5,90
203,232,tt0475323,the lodge,2019,1196,3.9,,,5,100
204,233,tt5342950,the wolf hour,2019,841,4.8,,,6,99
205,234,tt3297554,animals,2019,838,6.3,,,1,109
206,235,tt6515910,the kindness of strangers,2019,201,5.5,,0.0,6,112
207,236,tt1438173,bait,2019,15239,5.2,,,4,89
