,title,year,imdbID,book,sup,hor,com,spy,his,war,psy,rom,mon,fan,mus,pol,bio,sci,act,dra,dis,adv,mys,thr,dys,cri,epi,oth,ani,based_on_book,other
0,avengers: endgame,2019.0,tt4154796,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0,1.0,0,0,0,0,0,0,0,1.0,0
1,toy story 4,2019.0,tt1979376,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,1,0.0,0
2,captain marvel,2019.0,tt4154664,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,0,0,1.0,0,0,0,0,0,0,0,1.0,0
3,spider-man: far from home,2019.0,tt6320628,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,0,0,1.0,0,0,0,0,0,0,0,1.0,0
4,frozen ii,2019.0,tt4520988,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1.0,0,0,0,0,0,0,1,0.0,0
5,aladdin,2019.0,tt0103639,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1.0,0
6,it chapter two,2019.0,tt7349950,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,1.0,0
7,us,2019.0,tt6857112,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.0,0
8,escape room,2019.0,tt5886046,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1.0,0,0,1.0,0,0,0,0,0,0,0,0.0,0
10,a dog's way home,2019.0,tt7616798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,1.0,0,0,0,0,0,0,0,1.0,0
11,after darkness,2019.0,tt2728784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0,0,0,0,0,0,0,0,0,0.0,0
12,glass,2019.0,tt6823368,0,1.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1.0,0,0,0,1,0,0,0,0,0,0.0,0
