,imdbID,title,year,n_votes,imdb_rating,budget,box_office,cast,running_time
0,tt0097626,johnny handsome,1989,8324,6.2,20.0,7.24,7,96
1,tt0092997,extreme prejudice,1987,5649,6.7,22.0,1130784.49,3,104
3,tt0120903,x-men,2000,545484,7.4,75.0,296.3,10,104
5,tt0077975,national lampoon's animal house,1978,106817,7.5,3.0,141.6,6,109
6,tt0091757,pirates,1986,7361,6.1,1274.0,4560.0,6,726
7,tt1229238,mission: impossible,1996,435418,7.4,828.0,3570.0,1,769
8,tt1649419,the impossible,2012,182949,7.6,45.0,198.1,3,113
10,tt1099212,twilight,1998,401686,5.2,385.0,3346.0,18,607
11,tt0077869,the lord of the rings,1978,28044,6.2,281.0,2919.0,15,558
12,tt0120338,titanic,1997,983627,7.8,200.0,2187.0,10,195
13,tt2488496,star wars: episode vii - the force awakens,2015,802470,7.9,306.0,2068.0,13,135
14,tt7768640,star wars: the force awakens,2015,8,6.0,306.0,2068.0,13,135
15,tt4154756,avengers: infinity war,2018,725561,8.5,400.0,2048.0,19,149
16,tt0119654,men in black,1997,488855,7.3,90.0,589.4,5,98
17,tt0369610,jurassic world,2015,551466,7.0,150.0,1672.0,8,124
18,tt0848228,the avengers,1998,1208826,8.0,60.0,48.6,4,89
19,tt0848228,the avengers,2012,1208826,8.0,220.0,1519.0,11,143
20,tt2820852,furious 7,2015,342382,7.2,190.0,1516.0,10,137
21,tt2395427,avengers: age of ultron,2015,688839,7.3,495.2,1403.0,17,141
22,tt1825683,black panther,2018,551088,7.3,200.0,1347.0,11,134
23,tt2527336,star wars: episode viii - the last jedi,2017,487996,7.1,317.0,1333.0,15,152
24,tt3486354,star wars: the last jedi,2008,87,8.3,317.0,1333.0,14,152
25,tt4881806,jurassic world: fallen kingdom,2018,234437,6.2,187.0,1309.0,7,128
28,tt2294629,frozen,2013,535203,7.5,150.0,1276.0,5,102
29,tt0101414,beauty and the beast,1962,398274,8.0,255.0,1264.0,11,129
30,tt0101414,beauty and the beast,1991,398274,8.0,255.0,1264.0,11,129
31,tt0101414,beauty and the beast,2017,398274,8.0,255.0,1264.0,11,129
32,tt3606756,incredibles 2,2018,220721,7.7,200.0,1243.0,5,118
33,tt4630562,the fate of the furious,2017,188876,6.7,250.0,1236.0,11,136
38,tt1300854,iron man 3,2013,713364,7.2,200.0,1215.0,9,131
39,tt2293640,minions,2015,199532,6.4,74.0,1159.0,6,91
40,tt3498820,captain america: civil war,2016,610916,7.8,250.0,1153.0,16,147
41,tt1477834,aquaman,2018,313995,7.0,200.0,1148.0,7,143
43,tt1399103,transformers: dark of the moon,2011,371748,6.2,195.0,1124.0,10,154
44,tt0167260,the lord of the rings: the return of the king,2003,1533400,8.9,94.0,1120.0,19,200
45,tt1074638,skyfall,2012,601979,7.7,200.0,1109.0,8,143
46,tt2109248,transformers: age of extinction,2014,287629,5.6,210.0,1104.0,2,165
47,tt1345836,the dark knight rises,2012,1424604,8.4,300.0,1084.0,8,165
48,tt0435761,toy story 3,2010,707238,8.3,200.0,1067.0,13,103
49,tt0383574,pirates of the caribbean: dead man's chest,2006,624533,7.3,225.0,1066.0,8,151
50,tt3748528,rogue one: a star wars story,2016,497915,7.8,265.0,1056.0,8,133
51,tt0103639,aladdin,1992,339486,8.0,183.0,1051.0,7,128
52,tt1298650,pirates of the caribbean: on stranger tides,2011,457040,6.6,410.6,1046.0,5,137
53,tt3469046,despicable me 3,2017,99642,6.3,80.0,1035.0,8,90
54,tt2277860,finding dory,2016,221139,7.3,200.0,1029.0,8,97
56,tt0120915,star wars: episode i - the phantom menace,1999,671698,6.5,115.0,1027.0,9,133
57,tt0120915,star wars: episode i  the phantom menace,1999,671698,6.5,115.0,1027.0,9,133
58,tt0099012,alice,1990,12601,6.6,12.0,7.33,8,106
59,tt0335563,wonderland,2003,20577,6.6,150.0,1025.0,10,108
61,tt1014759,alice in wonderland,2010,364904,6.4,150.0,1025.0,10,108
62,tt2948356,zootopia,2016,398097,8.0,150.0,1024.0,12,108
63,tt0903624,the hobbit: an unexpected journey,2012,729705,7.8,315.0,1021.0,11,169
64,tt0468569,the dark knight,2008,2141768,9.0,185.0,1005.0,7,152
65,tt0252866,american pie 2,2001,229287,6.4,30.0,287.6,11,100
66,tt0241527,harry potter and the sorcerer's stone,2001,586903,7.6,125.0,975.1,12,152
67,tt1690953,despicable me 2,2013,352039,7.3,76.0,970.8,6,98
69,tt0110357,the lion king,1994,875159,8.5,45.0,968.5,14,88
70,tt3040964,the jungle book,1967,246564,7.4,177.0,966.6,8,106
71,tt3040964,the jungle book,1994,246564,7.4,177.0,966.6,8,106
72,tt3040964,the jungle book,2016,246564,7.4,177.0,966.6,8,106
73,tt0449088,pirates of the caribbean: at world's end,2007,565803,7.1,300.0,963.4,11,168
74,tt2283362,jumanji: welcome to the jungle,2017,262272,6.9,150.0,962.1,6,119
